sa2_code,sa2_name,state,total_persons_2011,total_renters_2011,total_dwellings_2011,own_occ_2011,rented_2011,other_tenure_2011,tenure not stated_2011,tenure n_a_2011,rent_stress_2011,young_2011,older_2011,unemployed_2011,single_parent_2011,low_ed_2011,assist_2011,indig_2011,english_2011,spanish_2011,arabic_2011,hindi_2011,punjabi_2011,vietnamese_2011,japanese_2011,korean_2011,mandarin_2011,samoan_2011,tagalog_2011,all_other_lang_2011,public_community_2011,boardinghouse_2011,residential_park_2011,rvi_2011,total_persons_2016,total_renters_2016,total_dwellings_2016,own_occ_2016,rented_2016,other_tenure_2016,tenure not stated_2016,tenure n_a_2016,rent_stress_2016,young_2016,older_2016,unemployed_2016,single_parent_2016,low_ed_2016,assist_2016,indig_2016,english_2016,spanish_2016,arabic_2016,hindi_2016,punjabi_2016,vietnamese_2016,japanese_2016,korean_2016,mandarin_2016,samoan_2016,tagalog_2016,all_other_lang_2016,public_community_2016,boardinghouse_2016,residential_park_2016,rvi_2016,total_persons_2021,total_renters_2021,total_dwellings_2021,own_occ_2021,rented_2021,other_tenure_2021,tenure not stated_2021,tenure n_a_2021,rent_stress_2021,young_2021,older_2021,unemployed_2021,single_parent_2021,low_ed_2021,assist_2021,indig_2021,english_2021,spanish_2021,arabic_2021,hindi_2021,punjabi_2021,vietnamese_2021,japanese_2021,korean_2021,mandarin_2021,samoan_2021,tagalog_2021,all_other_lang_2021,public_community_2021,boardinghouse_2021,residential_park_2021,rvi_2021,unaff_2017_common,unaff_2018_common,unaff_2019_common,unaff_2020_common,unaff_2021_common,2016_12_common,2017_12_common,2018_12_common,2019_12_common,2020_12_common,2021_12_common,16_m_rent_common,17_m_rent_common,18_m_rent_common,19_m_rent_common,20_m_rent_common,21_m_rent_common
101031016,Jindabyne - Berridale,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,20448,2345025,896053,236238,419712,245740,23971,87901,24852,2670,55219,102720,33161,113582,71384,81645,120278,712711,2481,4422,6074,12550,1727,1333,6891,13683,8677,2436,76847,20851,6559,13753,30678,6482,24916,26375,2210,7116,9408,549838,286355,281969,536512,389496,49421,37624,65882,92445,16795,53226,6975,702,29,2751,25,74,1327,849,491,3088,2918,370,842,1.055736594,54,83,96,97,60,13105,2259,5803,14180,15322,7932,198,1062,131,1248,155,1077
101041017,Batemans Bay,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269,35442,637343,1000053,274410,540500,394804,12294,103801,55710,1504,31210,40862,9874,67785,25104,74389,7384,1188184,2780,3466,4307,4809,4950,1297,3146,14668,3623,5259,113215,28455,3125,12511,92263,21417,556,21,14925,6051,202097,571058,405632,279700,608343,83906,62759,30141,32289,18729,49600,55817,5332,691,1795,4731,499,1016,408,1421,927,13242,1199,227,362,1.493848357,10,17,77,24,68,10646,2331,11801,6233,10050,11675,140,1033,1313,515,265,38
101041018,Batemans Bay - South,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11617,31234,3406500,1266418,1177662,706842,491216,34836,79063,184092,6459,64041,62199,62618,93300,66391,51111,124890,359265,5389,8197,2999,9924,1643,349,906,18452,284,10966,119131,25913,3004,22848,50078,30907,5369,15917,11294,7905,383307,271697,293230,617767,182105,314299,97736,64477,83316,34256,9626,28472,7027,123,1515,4865,436,1633,41,12,885,15442,2721,226,1301,1.044163776,86,83,33,62,37,624,10273,8754,3262,4651,11410,202,324,1266,631,870,915
101041019,Bega - Tathra,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111,29943,3190528,626198,748952,488739,611783,7595,59400,45752,1330,55156,8365,45274,62760,66435,20824,127754,577534,12575,1012,5606,2033,2017,4748,8130,10586,10170,4995,98975,23392,5594,15543,115076,37664,37741,25513,8737,7752,399936,390113,254127,586036,378008,599522,2448,5919,97660,92266,26280,2045,113,1906,1527,6062,287,1945,493,1390,95,2880,2050,135,1205,1.083145391,44,57,17,40,6,4271,949,3656,8710,6341,9486,33,884,495,774,13,1141
101041020,Bega-Eden Hinterland,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289,54034,3587120,859914,753733,540733,517973,26499,9565,57298,203,192597,53615,64584,99508,82159,1893,78600,382765,4843,2031,3051,2624,2220,4363,42,862,7931,6584,69559,50063,773,22970,40628,550,4095,21799,3333,7123,497982,378946,516219,444759,627822,173819,62125,14119,56374,31338,46045,92752,4371,2353,1299,7298,594,1035,576,967,1002,8308,2299,144,694,0.674286977,59,92,20,75,74,7721,2324,12268,5866,6425,2458,725,655,217,555,1180,922
101041021,Broulee - Tomakin,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2972,70388,4836731,574893,248677,440846,607047,39131,112193,80436,5051,109488,89009,20088,25090,73836,78091,86290,1210638,3409,5528,5551,8786,6094,1527,2112,2179,6306,10996,52912,49140,4944,18364,23590,22920,30040,25906,6603,567,31056,97588,14762,201529,498983,376808,70965,96782,54497,6022,44955,49068,4240,14,2193,3484,195,793,2090,244,705,9948,1620,70,1390,0.688543355,68,8,39,36,28,10101,8674,7169,2156,186,11362,773,24,787,1039,93,1119
101041023,Eden,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,83842,2028822,926574,1619709,374261,463066,31764,102719,145917,6398,5647,38493,48478,24952,29011,4283,82986,97338,7340,5060,934,802,2291,1283,2374,13986,9601,8495,156648,20220,2041,7888,70550,35078,31044,1891,6014,440,198746,245420,84096,499799,399253,402696,95989,44760,73844,36571,14476,57311,352,2118,1261,6358,341,201,3415,941,60,14380,2071,13,124,1.720701456,50,93,91,33,93,1021,5980,12898,13620,10864,16691,956,290,1365,897,124,1341
101041024,Eurobodalla Hinterland,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,15173,1754750,471420,2075102,854527,76513,2715,38113,21559,41,123426,73413,56355,29009,30071,44740,97017,378498,7973,9139,1697,1013,1654,6070,2004,4090,8401,943,45911,39213,1498,13046,58422,28738,19043,6364,12759,1712,551249,87031,451890,439364,174044,588942,78315,43888,78878,103246,32522,100095,7404,2044,388,3954,557,1452,2922,279,612,4054,1216,97,601,0.878114496,29,59,87,91,100,11388,304,15212,11987,13474,2300,274,553,267,1246,442,604
101041025,Merimbula - Tura Beach,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16600,68810,1827179,324425,1304066,270160,15704,2923,8080,113010,5328,175235,12249,43893,60514,63308,42569,100782,722560,4764,2079,2058,11842,848,2215,4426,1981,11138,4147,75195,8306,3415,3867,65302,40261,7850,14413,14606,8072,527100,374695,310013,83384,154398,409605,43727,49027,65955,89669,76026,5769,4094,487,1030,1050,370,2507,2075,1259,101,436,812,152,542,0.663347819,92,45,75,7,67,10983,13525,2354,13761,4290,13926,165,1187,911,947,435,804
101041026,Moruya - Tuross Head,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,2784,1193459,1498674,306182,716834,152307,15307,86226,29691,1538,182428,90069,32162,86545,49954,66817,30351,11968,3930,6172,5273,688,2626,3899,1858,11537,2727,4133,34884,1949,4055,20494,80810,20605,47073,8768,11942,8897,310680,136147,225268,418442,229935,449802,109359,84900,7944,73869,101093,71642,3986,1554,931,6830,599,551,684,573,291,6139,526,16,1713,0.874687411,34,66,73,32,58,4472,13057,9044,8982,2053,14539,612,865,1430,1389,39,965
101041027,Narooma - Bermagui,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11569,95259,5100615,467711,152573,790326,603704,13296,94802,170687,4072,163796,18334,56911,67388,62145,39374,66201,585229,9282,8574,4160,2311,885,499,6131,10496,2194,9729,44003,38650,2826,9890,93715,34481,22323,20267,2348,8154,530696,561201,6758,505006,2523,270671,121293,6090,50452,13475,25490,48398,7822,1389,2115,5480,452,53,269,1246,234,6388,320,325,1771,0.83385849,70,40,72,60,1,14388,14994,4855,8902,16345,6922,604,411,244,319,727,546
101051539,Goulburn,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9772,48662,4439807,339399,385817,760315,29127,12777,79761,121042,923,31006,89483,48863,33623,62818,22619,25943,1112330,2997,1253,4510,2411,4571,414,1623,5210,1858,5674,68646,17573,2106,14875,41725,10872,33140,11113,9369,9063,65905,22125,463131,599760,393936,145508,69854,4645,54574,33241,90763,94597,8730,803,1015,4958,251,2340,1343,1204,349,6779,2604,350,690,1.682527258,50,77,43,2,81,3532,11081,8350,10646,9712,10407,442,1237,1324,1142,143,302
101051540,Goulburn Surrounds,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5805,60084,282257,847290,891752,197733,60963,34261,111348,131421,4735,111960,34870,57054,63031,14767,1854,3311,158606,14654,3727,6348,10290,6781,347,9602,11087,5798,6086,41433,45796,4850,20639,18542,13322,15475,2716,13209,6474,310538,6426,539899,43517,205296,498027,108645,50821,72118,14120,82110,90581,3169,1457,373,3959,318,1726,988,445,611,2613,1240,85,348,0.831069979,59,61,76,6,24,9981,2771,12960,14404,13708,8187,815,838,1110,390,489,953
101061541,Yass,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,45554,384739,1103795,1702620,1061501,515887,2526,73956,170649,4142,69767,80525,12994,25994,48549,47565,88634,981063,11668,7194,2367,13806,1753,3798,3969,7147,6535,2612,73125,39660,1474,6667,62745,14114,35904,4748,14465,763,487342,207868,491669,526826,437226,619846,83869,56966,45477,11936,81841,41435,2456,2339,4093,6767,184,834,2930,832,391,13323,819,366,1637,1.102689172,46,84,46,0,6,2157,9062,5196,1087,9975,15016,717,1127,725,1106,392,791
101061542,Yass Surrounds,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11903,78222,3822769,1464251,1622804,68927,64931,24740,12347,25448,3527,9442,114335,17524,41591,61344,5604,67366,634936,12291,7009,220,7246,6118,2554,2663,16297,130,9807,2610,18767,5239,1784,21915,29923,21340,22646,16722,3100,37031,108050,284019,250522,96248,238952,100961,87203,7805,105210,32483,5227,8859,739,1587,5360,511,1305,689,210,66,3380,1438,156,52,0.53233506,59,18,85,54,23,3511,11545,5347,692,3964,10035,134,225,811,1287,1243,190
101061543,Young,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9702,80072,2121066,400318,763782,1194458,614041,31860,43562,104833,3811,16681,54648,63898,85981,38337,88371,2241,710493,5870,1710,4554,12302,6486,1956,1221,17847,5111,2393,118596,6609,1770,3425,92397,34373,19826,10820,5846,11029,376944,132761,307527,205395,306944,351767,57450,91538,3183,97766,51036,22207,3649,1403,3929,4055,112,1192,1175,1342,786,645,3749,40,607,1.430656938,74,97,64,27,71,10420,2156,9948,10229,15783,6676,683,191,1202,862,1152,1076
101061544,Young Surrounds,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5916,80176,1290393,554955,1389992,1061629,452570,21521,59056,23159,924,191293,7093,20209,57647,46277,39323,85580,1003084,6720,5257,3115,10888,6535,6621,703,15016,10710,4415,58344,40488,6334,8548,69846,25950,12883,5860,5752,107,92629,112428,169948,362649,562820,527673,26362,78979,7689,5953,58261,43523,1323,737,2502,4483,636,441,842,1424,828,6836,424,338,933,1.074865288,88,52,40,32,12,6008,15457,6289,13700,12542,612,2,1123,609,1327,525,1152
102011028,Avoca Beach - Copacabana,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11561,69820,474492,997451,389317,990075,422258,309,94868,3342,4870,16916,113202,60920,7879,71414,8883,98506,84976,12703,1319,3101,835,923,1413,8547,5682,2493,11869,80989,32063,2307,15287,108787,12843,22696,13346,10403,6981,44658,363434,577135,279645,564235,471886,16796,43159,20097,12106,58545,76333,8666,2476,216,6116,546,1392,308,487,127,5170,365,75,815,0.547830155,12,40,63,59,9,246,4372,13609,2639,16607,71,983,1060,146,764,597,1118
102011029,Box Head - MacMasters Beach,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7205,4581,3119282,635540,937366,572479,435691,3540,94365,133493,6532,139029,26322,10319,62391,41443,23453,56460,837874,9298,300,887,7209,7192,2194,187,514,2326,1595,122575,41326,4826,15891,3809,31530,29820,7867,16549,2729,164139,45646,438330,471835,364216,541807,121423,8159,74290,82605,101357,104489,7881,547,1281,1822,554,96,3062,468,45,7376,1587,198,700,0.429358705,39,99,29,4,53,10319,5687,14112,8410,11948,16233,437,1045,112,713,984,677
102011030,Calga - Kulnura,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090,89195,5124637,1319316,352382,488539,80100,26836,22316,85461,6495,96122,67905,45568,24545,54044,476,117006,565440,5496,5443,2981,11073,7293,2144,6028,17546,6203,4654,90731,22485,296,7392,60212,39637,4,8904,4172,1763,374669,68619,328932,334528,458619,394158,61767,94049,76857,16295,82063,103690,6944,2082,2361,3497,327,1428,313,494,37,13018,2432,314,1460,1.044432721,19,77,83,5,7,14803,8140,11350,10747,9372,16461,549,456,83,160,230,366
102011031,Erina - Green Point,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11971,60960,3118508,669303,2133363,613255,167105,28164,48795,4062,1484,140221,36225,55223,68715,13780,58898,101685,1162774,13558,6030,4453,4382,3799,918,2231,5762,8664,12482,110660,18764,5091,5970,85968,34472,6772,17608,2614,1443,159176,538437,65415,363783,59786,315629,121391,3780,12045,93140,37832,15561,6268,657,1355,6662,149,2352,369,1312,9,7048,2725,65,807,0.872874095,70,57,15,97,10,7306,12111,5318,8237,888,10493,290,1161,335,1029,934,216
102011032,Gosford - Springfield,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,39877,4447801,293106,134843,1185154,581167,16225,60803,52863,2743,25639,34382,42107,15638,16014,66095,85901,1084114,7913,5917,3889,523,3917,5140,8518,7950,5397,210,54341,32133,2430,12090,82278,11867,34899,2674,14209,2003,181825,508952,341181,469803,145471,50176,11797,86166,14076,22043,97601,81203,6444,2250,4074,7299,600,809,2439,623,538,11124,849,356,291,1.870391889,79,56,51,72,50,1131,4678,10005,1739,4342,13865,686,1229,1051,803,1136,382
102011033,Kariong,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16359,21755,1332315,1426204,409750,564916,286898,22743,73071,94440,1479,75072,63248,28657,59684,37960,62217,2815,853572,862,2134,5804,1721,4767,6078,6495,1319,10518,5315,70430,13247,3115,15579,114462,4245,48205,22572,3184,6858,362736,261483,512839,260654,216940,520837,48930,86738,72499,26182,95997,47085,6,2968,3492,6964,153,2086,2410,409,607,9893,3226,52,819,1.194757394,95,78,76,43,99,14534,4830,4698,1395,12630,327,307,4,169,1089,243,331
102011034,Kincumber - Picketts Valley,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12647,34607,2480059,1432050,1903847,880954,137808,15473,90310,103869,952,13672,106081,30992,40817,49870,89869,49357,483989,4033,6329,4629,1994,3741,1851,281,14708,965,4209,160852,19806,6212,6497,108436,36606,189,14082,10690,10831,187364,519231,187455,144009,310872,166166,15655,94349,31305,23268,93859,77138,1506,1995,4182,4537,496,1414,1175,1166,531,9145,1031,207,1261,0.978363109,88,28,49,81,43,728,12644,15787,16435,15713,14367,326,1165,585,128,506,927
102011035,Narara,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,66438,4986405,584984,1349478,1151531,177729,9410,53903,186613,4931,187132,36195,24297,97370,37021,22908,136587,600604,10495,5316,1417,10763,7235,233,1935,17367,7619,6985,116093,25357,4730,20685,102814,1872,19594,21593,12523,2389,65592,32880,30357,424731,147583,105434,52040,296,10067,77873,70521,91192,4430,98,2812,6519,588,149,1156,859,477,8873,640,215,1607,1.129510117,89,5,9,64,91,9142,3621,5555,14051,4082,9564,797,276,449,985,355,797
102011036,Niagara Park - Lisarow,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2752,98701,583398,1091938,298265,114214,403959,22190,90400,185411,4768,101315,21080,64629,104095,46849,41009,56227,420103,4582,3186,3165,2835,2376,5586,7519,19107,5627,1503,141531,55664,6740,13363,11574,26489,35840,4961,16685,8191,449636,282166,447888,597509,241815,153741,49619,45254,30446,40638,33714,89530,256,716,3877,6102,265,1843,2858,37,51,3956,1326,99,137,1.018541955,92,23,19,48,42,14895,13566,12284,1536,7154,9634,72,849,222,639,462,70
102011037,Point Clare - Koolewong,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14188,42486,2067634,332823,557784,611718,449651,26935,28936,49532,814,98778,115679,15256,101082,20625,75968,48252,890237,13357,4707,4695,9593,6712,6167,907,8883,4239,6566,65523,19864,892,10985,272,29368,4646,8472,10400,2830,89869,41351,16481,568193,287104,452259,81042,26213,10975,13810,35730,92225,955,1400,2249,2619,591,110,3241,666,37,13257,68,57,863,0.987453114,55,20,79,99,26,13508,11553,7129,4024,9633,9059,451,235,1263,280,916,816
102011038,Saratoga - Davistown,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6239,72247,3948529,1400048,388434,440036,487561,7858,66563,5125,5611,158648,54113,46310,53025,33290,16665,24028,497352,3033,8772,894,10813,1720,6720,3136,19382,7500,5176,90393,52006,7451,12683,79846,13155,14674,1420,16008,10590,294789,52866,199108,369074,200276,156223,12060,81684,44960,33388,40665,94236,9096,1034,1031,6619,488,1346,1897,1145,759,908,2386,49,427,0.528024921,14,98,29,39,44,4788,597,15484,4931,12385,3660,3,292,693,1373,298,333
102011039,Terrigal - North Avoca,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13842,95662,5019110,681633,946473,1129182,494823,22878,104200,14329,5610,174450,102991,6484,92011,52844,93142,132552,925609,12350,8834,4872,4622,6649,2323,929,19379,6550,11217,117998,13481,6900,7705,9199,9914,10674,20199,9598,6142,186735,478071,489613,518507,229110,371972,33238,60227,98299,83907,17447,272,5013,2966,647,3236,486,2569,2095,843,433,9439,3083,134,17,0.647247249,20,100,13,32,43,3347,13587,176,14210,5197,10114,870,625,1200,192,261,1076
